,imgname,psnr,ssim,uiqm,uciqe
0,nachsholim_LFT_3004-patch_fake,inf,1.0,0.7758666242735863,24.00149192374705
1,katzaa_LFT_4007-patch_fake,inf,1.0,0.3991987251405208,24.724814409703814
2,satil_RGT_4336-patch_fake,inf,1.0,0.4542417371667502,26.181373323952396
3,nachsholim_RGT_3158-patch_fake,inf,1.0,0.5311328574174056,28.62613356105082
4,nachsholim_LFT_3148-patch_fake,inf,1.0,0.5817720002368115,26.388128549173068
5,michmoret_LFT_5441-patch_fake,inf,1.0,0.5510358058465806,31.294006185600946
6,katzaa_LFT_4018-patch_fake,inf,1.0,0.41409012743277407,24.857566457801774
7,nachsholim_LFT_2988-patch_fake,inf,1.0,0.736838167948877,24.144229943204767
8,michmoret_LFT_5431-patch_fake,inf,1.0,0.5559094455189055,28.028058395026978
9,katzaa_RGT_4492-patch_fake,inf,1.0,0.7002950581820949,29.306697552308734
10,katzaa_LFT_4032-patch_fake,inf,1.0,0.6392952329033031,30.76079738872205
11,michmoret_RGT_5455-patch_fake,inf,1.0,0.43985377396578573,26.675717931919742
12,michmoret_LFT_5430-patch_fake,inf,1.0,0.5173924084774315,27.697865550973667
13,michmoret_LFT_5452-patch_fake,inf,1.0,0.3922725160551034,29.62640320888894
14,michmoret_LFT_5426-patch_fake,inf,1.0,0.47948157705363526,27.793667175251716
15,katzaa_RGT_4481-patch_fake,inf,1.0,0.5124309720929281,27.814467518740354
16,katzaa_LFT_4024-patch_fake,inf,1.0,0.47537373457677856,27.533097163275094
17,michmoret_LFT_5425-patch_fake,inf,1.0,0.45369754989153244,27.447129920469855
18,michmoret_RGT_5466-patch_fake,inf,1.0,0.5740172605155622,30.670537862013564
19,michmoret_RGT_5446-patch_fake,inf,1.0,0.46496675122767817,26.885957260565903
20,satil_LFT_3920-patch_fake,inf,1.0,0.3811042906249491,26.139055560303625
21,katzaa_LFT_4026-patch_fake,inf,1.0,0.7269712626352148,26.28521734117444
22,michmoret_RGT_5480-patch_fake,inf,1.0,0.45012197521428177,27.850965787219835
23,michmoret_LFT_5453-patch_fake,inf,1.0,0.40078098436112786,30.308412212766477
24,michmoret_LFT_5434-patch_fake,inf,1.0,0.4628248735162226,27.24970747894271
25,nachsholim_LFT_3266-patch_fake,inf,1.0,0.6783394410851682,26.765811538024728
26,katzaa_LFT_4030-patch_fake,inf,1.0,0.615047074600399,24.504022605758546
27,katzaa_RGT_4487-patch_fake,inf,1.0,0.7733658337456015,25.859631876718343
28,michmoret_LFT_5442-patch_fake,inf,1.0,0.5239976496467501,31.856651412651882
29,nachsholim_RGT_3014-patch_fake,inf,1.0,0.7257792592336276,25.56166961736807
30,satil_RGT_4384-patch_fake,inf,1.0,0.4125953637481714,25.331770263615105
31,michmoret_RGT_5471-patch_fake,inf,1.0,0.4292123902703331,28.43256492947785
32,michmoret_RGT_5478-patch_fake,inf,1.0,0.6017474096550096,29.464360434618687
33,michmoret_RGT_5454-patch_fake,inf,1.0,0.48440205204967357,26.388671364553897
34,katzaa_RGT_4468-patch_fake,inf,1.0,0.4447850959237266,24.709537148638848
35,michmoret_RGT_5445-patch_fake,inf,1.0,0.446221695827166,26.189402800002007
